编码,名称
11.LS0000099,北京富品家具有限责任公司
11.LS0000100,北京首经技术培训中心
11.LS0000101,中国航空国际旅行社北京站门市部
11.LS0000102,北京爱普惠管理咨询有限公司
11.LS0000103,北京德奥达汽车进出口有限公司
11.LS0000104,中国标准情报中心
11.LS0000105,北京空管航运客货运代理处
11.LS0000106,北京龙源智博资产评估有限责任公司
11.LS0000107,北京中平建会计师事务所有限公司
11.LS0000108,北京国联中企管理咨询中心
11.LS0000109,北京磁通设备制造有限公司
11.LS0000110,北京青年旅行社股份有限公司
11.LS0000111,北京天源博通科技有限公司
11.LS0000112,北京利达保能科技发展有限责任公司
11.LS0000115,中国共产主义青年团中国南方机车车辆工业集团公司委员会
11.LS0000116,北京时代贝林机电设备有限公司
11.LS0000117,北京人合新华文化交流中心
11.LS0000119,国家外国专家局培训中心
11.LS0000120,北京美泽林广告有限公司
11.LS0000121,人民日报社
11.LS0000122,经济日报广告部
11.LS0000124,北京航空非凡机械设备厂
11.LS0000125,钢铁研究总院
11.LS0000126,北京语言大学
11.LS0000127,中国铁道科学研究院集团有限公司标准计量研究所
11.LS0000128,中国机电设备招标中心
11.LS0000129,《中国总会计师》杂志社
11.LS0000130,北京百朗教育发展有限公司
11.LS0000131,中元国际投资咨询公司
11.LS0000132,北京铁路科研有限责任公司
11.LS0000133,北京铁力科研有限责任公司
11.LS0000134,北京京通万达汽车有限公司
11.LS0000135,北京中改之星文化发展有限公司
11.LS0000137,中国信息协会
11.LS0000139,方志出版社
11.LS0000140,北京一诺环球经济文化发展中心
11.LS0000143,北京中质嘉信企业管理顾问有限公司
11.LS0000144,中华全国总工会文工团
11.LS0000145,北京中铁信科技有限公司
11.LS0000146,北方国际合作股份有限公司
11.LS0000147,中国南方机车车辆工业集团公司职工思想政治工作研究会
11.LS0000148,中国南方机车车辆工业集团公司党委宣传部
11.LS0000149,北京中德信合技术发展有限公司
11.LS0000150,金城出版社
11.LS0000151,中全总(北京)信息中心
11.LS0000152,中共中央企业工作委员会培训中心
11.LS0000153,北京联合友力电气设备有限公司
11.LS0000154,北京普利斯特科技有限公司
11.LS0000155,北京北一数控机床有限责任公司
11.LS0000156,中国人民解放军海军司令部第三招待所
11.LS0000157,中国国际贸易促进委员会法律事务部
11.LS0000158,北京天宇祥云铁路配件有限公司
11.LS0000160,中国报协行业报委员会
11.LS0000161,中国铁路建设投资公司
11.LS0000162,港中旅国际旅行社有限公司
11.LS0000163,北京国富安电子商务安全认证有限公司
11.LS0000164,北京交通大学培训中心
11.LS0000165,北京瑞德世达能源技术开发有限公司
11.LS0000166,北京中标世纪科学技术中心
11.LS0000167,中国铁道出版社发行部
11.LS0000168,北京中德机联技术发展有限公司
11.LS0000169,国务院国有资产监督管理委员会研究中心
11.LS0000170,中车北京二七机车有限公司
11.LS0000171,铁道部科技司
11.LS0000172,铁道部财务司
11.LS0000173,北京亿帆景程文化传媒有限公司
11.LS0000174,北京广纳达咨询有限公司
11.LS0000175,中航重科（北京）科技发展有限公司
11.LS0000176,国科园（北京）科技企业信息咨询中心
11.LS0000177,捷爱士国际货物运输代理(上海)有限公司北京分公司
11.LS0000178,中国航空工业集团公司北京长城计量测试技术研究所
11.LS0000179,北京福禄克世禄仪器维修和服务有限公司
11.LS0000180,北京蒸汽时代模型艺术有限公司
11.LS0000181,北京京浦铁科贸有限责任公司
11.LS0000183,中务会计师事务所有限责任公司
11.LS0000184,北京瑞天克铁路器材技术开发公司
11.LS0000185,北京东方中讯联合认证技术有限公司
11.LS0000186,国家档案局档案干部教育中心
11.LS0000187,北京海关
11.LS0000188,清华大学经管学院
11.LS0000189,中国远东国际招标公司
11.LS0000190,铁道部工程交易中心北京分中心
11.LS0000191,北京北方共立科技发展有限公司
11.LS0000192,皓欧东方（北京）供热技术有限公司
11.LS0000193,北京市中侨国际旅游有限公司
11.LS0000194,北京奥斯普科技有限公司
11.LS0000195,北京数码兴业科技发展有限公司
11.LS0000196,中国企业联合基金会培训中心
11.LS0000197,北京世纪资源电子商务技术有限公司
11.LS0000198,清华大学
11.LS0000199,北京石油管理干部学院
11.LS0000200,中国铁路工会中国南车集团公司委员会
11.LS0000201,北京交通大学
11.LS0000202,中国人民大学
11.LS0000210,中国对外承包工程商会
11.LS0000211,北京市建设工程材料交易中心
11.LS0000213,北京国际贸易公司
11.LS0000214,中铁物总国际招标有限公司
11.LS0000215,中国-东盟技术转移与创新合作大会组委会
11.LS0000216,国家能源集团国际工程咨询有限公司
11.LS0000217,百思国际会展（北京）有限公司
11.LS0000904,中仪国际招标有限公司
11.LS0000970,北京产权交易所有限公司
11.LS0000971,中国通用咨询投资有限公司
11.LS0000972,中国汽车技术研究中心
11.LS0000973,中国质量认证中心
11.MA0061Y76,北京华力方元科技有限公司
11.MA01R12Y9,北京大地和顺会展有限公司
11.MA021A36X,北京惜相纪文化传媒有限公司
11.MA029M4P8,北京京东工业品贸易有限公司
11.MADLMEHW8,中车二七文化科技（北京）有限公司
11.MAECM72Y3,北京中科祥瑞电子设备有限公司
11.P0HE868F0,中铝招标有限公司
11.WH0000001,荣泰嘉铭节能科技（北京）有限公司
11.WH0000002,北京致远协创软件有限公司
11.WH0000003,北京环宇天虹科贸有限责任公司
11.X00005338,安治化工有限公司北京分公司
11.X26000324,华贸国际货运有限公司北京分公司
11.X26000325,中招国际招标有限公司
11.X26000326,北京环宇恒通汽车有限公司
11.X26001482,高伟绅律师事务所北京代表处
11.YA3501509,中国外汇管理杂志社
11.zjdc00004,北京皓海实创国际商贸有限公司
11.zjdc00005,北京卡达克数据技术中心
11.zjdc00006,北京冉驰国际会展有限公司
11.zjdc00033,富成星驰车轮销售（北京）有限公司
11.zjdc00238,伊卡路斯（北京）车辆技术有限公司
11.zjdc00267,中国航天建设集团有限公司
12.01359321Q,天津大学
12.01705045,河北工业大学
12.03257275D,中铁电气化勘测设计研究院有限公司
12.0587406,天津爱波瑞科技发展有限公司
12.09361341,天津引力国际贸易有限公司
12.10307164,天津大桥焊材集团有限公司
12.10310077,中国铁路物资天津公司
12.10311142,天津市第二继电器厂
12.10346768,天津市海达电子公司
12.10350587X,天津市雷驰工贸公司
12.18223350K,天津通卡智能网络科技股份有限公司
12.23893307,天津市泛亚工程机电设备咨询有限公司
12.2445290XN,天津商科数控技术股份有限公司
12.24464135,天津七一二移动通信股份有限公司
12.28665744,天津市东为建设科技有限公司
12.37673708,西屋交通机电装备（天津）有限公司
12.41373534,天津智鑫智能装备有限公司
12.41384436,天津市威马科技发展有限公司
12.41393665D,天津华宁电子有限公司
12.4910586,天津恒益建安集团有限公司
12.50361396B,中航长城计量测试（天津）有限公司
12.55265823J,天津大道模型有限公司
12.5814442XX,天津市中力神盾电子科技有限公司
12.59475999,天津市辰雨达机电设备销售有限公司
12.59872252,天津金星奥宇科技有限公司
12.60053364,西特传感技术(天津)有限公司
12.60053708X,伍尔特（天津）国际贸易有限公司
12.6005398,天津德联机床服务有限公司
12.60055182,施莱德（中国）照明工业有限公司
12.6005758,中集世联达物流管理有限公司
12.60057674,天津昭和漆包线有限公司
12.60058371,天津塘沽瓦特斯阀门有限公司
12.60058568X,普睿司曼(天津)电缆有限公司
12.60060125,天津昭和电材有限公司
12.60088377,天津开发区文博电子有限公司
12.60089814,西门子机械传动(天津)有限公司
12.66308436,天津中车机辆装备有限公司
12.6763245X8,天津城投建设工程管理咨询有限公司
12.70057681X,天津开发区路丰投资发展有限公司
12.70058184,天津耐克森电磁线缆有限公司
12.71293495,天津市特变电工变压器有限公司
12.71294404,阿滨仪器（天津）有限公司
12.72574147,爱姆卡（天津）工业五金有限公司
12.72574345,天津市北海通信技术有限公司
12.73038912,海德汉光学电子有限公司
12.73848624,万喜（天津）紧固件有限公司
12.74135004,天津开发区玲达机电贸易有限公司
12.74139184,天津航联迪克科技有限公司
12.75123730N,天津泰思来机电设备有限公司
12.75221742,天津联科思创科技发展有限公司
12.75967149,天津宇兴设备安装有限公司
12.76560075,天津市嘉达货运代理有限公司长沙分公司
12.76761395,天津七一二通信广播股份有限公司
12.77063994,天津合源创业国际贸易有限公司
12.97404451,中铁电气化局集团物资贸易有限公司天津分公司
12.A05MUQ92H,天津德来顺科技有限公司
12.A05NLRM6U,泰诺（天津）国际贸易有限责任公司
12.A05P9EP6T,天津信和智诚科技有限公司
12.A069EEH85,亚琛联合科技(天津)有限公司
12.A06P86F1U,天津英硕富德科技有限公司
12.A06PC6775,天津市福盈电子设备有限公司
12.A071K1J5U,天津朗誉机器人有限公司
12.A0777NP18,中航（天津）新材料科技有限公司
12.A0781K908,天津昌运通达供应链管理有限公司
12.A0789589F,中远海运工程物流有限公司
12.A07A0358F,福莱格霍莫尔（天津）贸易有限公司
12.A07FRF8X0,中储智慧物流科技（天津）有限公司
12.A81YLNCX7,北京吉盛机电设备有限公司天津分公司
12.K0030064X,北京铁路局天津机务段
12.LS0000002,天津起重设备有限公司
12.LS0000003,天津天富科技公司
12.LS0000004,福兰（天津）商务咨询有限公司
12.LS0000005,天津市中铁橡塑有限公司
12.LS0000006,天津善群树脂有限公司
12.MA05JY956,中车商业保理有限公司
12.MA06TABWX,天津领速物流有限公司
12.MA06URTX4,啦啦(天津)汽车科技有限公司
12.MA070HM93,中汽研新能源汽车检验中心（天津）有限公司
12.MA0745NT2,天津行安科技有限公司
12.MA07AXJ17,天津祥惠建设工程有限公司
12.zjdc00221,天津市通卡公用网络系统有限公司
12345,河北金鼎天力吊索具有限公司2
13.00673337C,河北金鼎天力吊索具有限公司
13.00851456,唐山百川智能机器股份有限公司
13.01052156X,唐山松下产业机器有限公司
13.01091607,沧州骅源会计师事务所有限责任公司
13.0124025,平乡县久红档案用品厂
13.04333337,北方工程设计研究院有限公司
13.04365784H,石家庄钢铁有限责任公司
13.06603142A,中国人民财产保险股份有限公司沧州市分公司
13.07486427,泊头汉润环保机械制造有限公司
13.07533448M,河北中通机车配件股份有限公司
13.09114731,石家庄硕泽机械设备科技有限公司
13.0958218,沧州中车株机轨道装备服务有限公司
13.1043608,河北远东通信系统工程有限公司
13.10537345,海湾安全技术有限公司
13.1059496,铁道部电气化工程局保定铁道变压器厂
13.10728285,南宫市宏宇毛毡制品有限公司
13.10829373,巨力集团有限公司
13.10987248,深州市塑料灯具厂
13.119221,廊坊市广阳区凯德机械加工厂
13.1836660XC,中移系统集成有限公司
13.18392737,清河县永兴实业有限公司
13.2110617,沧州渤海新区广信运输队
13.2120314,河北省特种设备监督检验研究院沧州分院
13.30843919,衡水家必备金属制品有限公司
13.31985415,秦皇岛合纵企业管理咨询有限责任公司
13.34802295,河北盛丰汽车零部件有限公司
13.3631568X1,河北冀翔通电子科技有限公司
13.46102437,河北河间市利川玻璃制品厂
13.517532,广州市番禺区旺新轴承经营部
13.56092976,沧州渤海新区信达维护服务有限公司
13.56199412,河北冠泰电子技术有限公司
13.56320505,石家庄瑞帆轨道交通设备有限公司
13.56501402M,河北顺丰速运有限公司沧州分公司
13.56545413C,耐力股份有限公司
13.57957581,唐山市顺祥货物运输有限公司
13.58363493,河北路凯机械配件有限公司
13.59096392,任丘市星宇汽车配件有限公司
13.59423200W,涿州博泰龙机电装备有限公司
13.59540309,保定市东朗电气设备有限公司
13.6010017,石家庄国祥制冷设备有限公司
13.60107341,保定市金迪开发科技有限公司
13.60116541,邯郸市铁皇电器有限公司
13.6012286,固安金海橡塑制品有限公司
13.60190813,河北远东哈里斯通信有限公司
13.60450094,石家庄海飞音机电设备有限公司
13.60481834,唐山百川工业服务有限公司
13.61062858C,黄骅港宝联机电设备有限公司
13.6169421,天航智能机械有限公司
13.63662259X,沧州市佳跃人力资源服务有限公司
13.63688767,中车唐山机车车辆有限公司
13.67030327,盐山县万鑫机床附件有限公司
13.67207122,石家庄利阳铁路物资有限公司
13.67209909,泊头市红旗机械有限公司
13.67321259,临漳县明星炭素有限公司
13.67322544X,三河亮克威泽工业涂料有限公司
13.67374134K,河北春林汽车维修服务有限公司
13.68062106,唐山市丰润区福顺达货运联合车队
13.68928159,邯郸市昌隆工贸公司石家庄分公司
13.6920778,邢台冀兴久久纸业有限公司
13.69345255,固安百滤得机械制造有限公司
13.69465058,河北远鹏机床量具有限公司
13.69465111,沧州炫龙精密设备有限公司
13.69921565,河北狮城百姓大药房连锁有限公司渤海新区分店
13.69923743,唐山市丰润区宏宇木制品加工厂
13.70065427,河北三丰橡塑制品有限公司
13.70090361,廊坊新时代化工建材有限公司
13.70323925Y,河北华圣毛毡有限公司
13.71834081,中国联合网络通信有限公司沧州市分公司
13.71839836,唐山成田轨道车辆设备有限公司
13.7209726X0,河北飞拓机械配件制造有限公司
13.73027603,河北省衡水飞亚橡塑制品有限公司
13.7302898,秦皇岛中车机车车辆窗具玻璃有限公司
13.7343545,河北硅谷化工有限公司
13.73563081,邢台市顺达铁路配件有限公司
13.74150339,石家庄德众科技开发有限公司
13.75241249,石家庄国祥运输设备有限公司
13.75403934X,河北宇光焊业有限公司
13.75541692,中国人寿财产保险股份有限公司沧州市中心支公司
13.75548963,衡水天海橡塑有限公司
13.76038092B,沧州辉煌商贸有限公司
13.76341358,河北南风汽车设备集团有限公司
13.76518826,雄县卓达电工器材厂
13.76663297,河北东铁铁路装备有限公司
13.76980074,衡水安康象橡塑实业有限责任公司
13.76980075,衡水安康橡塑实业有限责任公司
13.76980801,巨力索具股份有限公司
13.77618551,邯郸市大力机车试验设备有限公司
13.78080938,风帆股份有限公司工业电池分公司
13.78082538,河北华安天泰防爆科技有限公司
13.78258912X,河北株丕特玻璃钢制品有限公司
13.79415505,河北原景科贸有限公司
13.79417302,唐山市东恒机械厂
13.79419896X,石家庄凯威斯科技有限公司
13.79656317,石家庄市均益电子有限公司
13.79659773,唐山市达泰科技有限公司
13.79958542,清河县金龙工贸有限公司橡塑制品厂
13.79983600J,石家庄澜泽广告有限公司
13.79995274,国能铁路装备有限责任公司沧州机车车辆维修分公司
13.80710584,沧州渤海新区万合物流服务中心
13.82403394H,沧州运祥汽车销售服务有限公司
13.92480939X,廊坊腾智耐火材料有限公司
13.98813035N,邢台和信档案制品有限公司
13.99220927,石家庄嘉祥精密机械有限公司
13.A07KQYW1M,中航试金石检测科技（大厂）有限公司
13.A07R0262U,沧州渤海新区昊博商贸有限责任公司
13.A07TFUJ90,沧州渤海新区永信商贸有限公司
13.A080RG93T,河北翔顺电子机箱有限公司
13.A0849YQX2,沧州渤海新区民欣商贸有限公司
13.A08GJNL1L,沧州渤海新区大拇指文印部
13.A08GYH53Q,沧州渤海新区春信商贸有限公司
13.A08K4T68L,沧州渤海新区美客益家自选超市
13.A08LQRR2B,沧州市运河区奥雅箱包店
13.A08LTN391,河北安运贸易有限公司
13.A08RAAC0K,承德恒泰时代信息技术咨询服务有限公司
13.A08UA0PX4,邢台锐铁机械配件有限公司
13.A08W5766F,福建安溪聚诚工艺品有限公司
13.A091R40XL,沧州华豹工程科技有限公司
13.A092XX73X,沧州渤海新区鑫亿机电设备安装有限公司
13.A09URM02P,河北弘智达检测技术服务有限公司
13.A0CLD7D9H,石家庄洛沛科技有限公司
13.A0CQH5Y63,唐山友乾科技有限公司
13.A0DH99W59,沧州博旭知识产权服务有限公司
13.A0FGMM24M,保定永郡建筑工程有限公司
13.A0G0XDQ77,邯郸市辰聚企业管理咨询有限公司
13.ADDK9PW75,河北雄安紫贤科技发展有限公司
13.B0U80300B,渤海新区人民医院
13.J093454X3,平山县新大地教育培训中心
13.LS0000001,朔黄铁路有限责任公司
13.LS0000002,邯郸市爱华机械电子有限责任公司
13.LS0000004,中国神华能源股份有限公司神朔铁路分公司
13.LS0000006,石家庄铁路分局石家庄机务段
13.LS0000007,河北润华铁路运输服务有限公司
13.LS0000008,秦皇岛开发区春光铸造机械有限公司
13.LS0000010,神木众达铁路运营有限责任公司
13.LS0000011,邯郸内燃机配件厂
13.LS0000012,秦皇岛铸业达公司
13.LS0000013,秦皇岛市三优金属屋顶建造有限公司
13.LS0000014,石家庄德通电气自动化工程有限公司
13.LS0000016,河北雄县永久电器厂
13.LS0000017,河北春风冀暖股份有限公司
13.LS0000018,中铁第十六工程局
13.LS0000021,唐山开元自动焊接装备有限公司
13.LS0000022,保定东盛机床制造有限责任公司
13.LS0000024,沧州市渤海新区地方税务局
13.LS0000025,沧州市渤海新区国家税务局
13.LS0000026,沧州市住房公积金管理中心
13.LS0000027,沧州渤海新区人力资源管理和社会保障中心
13.MA07NLDC7,河北国瑞企业管理咨询有限公司
13.MA07QNUU4,石家庄东灿科技有限公司
13.WH0000001,中铁三局集团建筑安装工程有限公司
13.WH0000002,黑龙江省
13.zjdc00029,风帆有限责任公司徐水工业电池分公司
13.zjdc00050,河北廷伟装饰材料有限公司
14.02161186E,中车大同电力机车有限公司
14.05747137X,中国电子科技集团公司第二研究所
14.10201575,太原至诚机车车辆配件有限责任公司
14.10932953T,大秦铁路股份有限公司物资采购所
14.11010451,中铁三局集团有限公司
14.11014549,太原铁路科研所技术开发部
14.11021687,太原变压器厂实业公司
14.11180148,大同铁路分局湖东电力机务段劳动服务公司
14.11399057,山西宏益达轴瓦有限公司
14.15733795,山西富朗德液压技术有限公司
14.29661882H,大同中车煤化有限公司
14.30162637L,山西华豹新材料有限公司
14.31708456,山西鸿图正浩商贸有限公司
14.43503581L,中招神舟项目管理有限公司
14.46004593Q,山西衡宇招标代理有限公司
14.4604689XP,太原市鹭海自动化科技有限公司
14.51497498R,大同市赛诚机车设备有限责任公司
14.55656255,大同中铁正道交通设备有限公司
14.55872351,太原晋太实业（集团）有限公司救援技术分公司
14.57291372J,稷山县河东煤焦有限公司
14.59088702,大同柏盛电子电气有限公司
14.59809446L,太原畅通致远铁路机车车辆电子有限公司
14.60216062,大同爱得实业有限责任公司
14.64458751J,中车永济电机有限公司
14.64461037,中车太原机车车辆有限公司
14.66633795J,智奇铁路设备有限公司
14.66662428,太原宝铁机车车辆有限公司
14.67124404C,山西康宁电力机车配件有限公司
14.70110171X,永济电气节能器材有限责任公司
14.713621,大同益达铸造有限责任公司
14.71985572,太原重工钢轮有限公司
14.72327225T,山西铁路煤炭集运维修技术服务有限公司
14.72590962,晋西车轴股份有限公司
14.72965453,大秦铁路股份有限公司湖东电力机务段
14.72965821,太原钢铁(集团)现货销售有限公司
14.74602185,山西润泽丰科技股份有限公司
14.74859006,大同铁科机车配件有限责任公司
14.75725181,太原市信通达运输有限公司
14.75727261,大同市中铁机车新技术有限责任公司
14.76248254,大同北恒铁路新技术配件有限公司
14.77012586,大同市融治电气贸易有限责任公司
14.81206014J,大同市康奇机电有限公司
14.95339483J,山西鼎泰鑫科贸有限公司
14.9987807,大同市明睿志承商贸有限公司
14.A0GR26Q5T,临汾市宏惠源商贸有限公司
14.A0GT1B10H,山西三隆昌佳招标代理有限公司
14.A0HLGHP3P,智道铁路设备有限公司
14.A0KF47F51,山西路地环宇科贸有限责任公司
14.L1499335X,山西省化工研究所合成材料厂
14.LS0000001,永济机车工厂
14.LS0000002,山西柴油机厂技工职业技术学校实习工厂
14.LS0000003,中铁三局集团有限公司运输工程分公司
14.LS0000004,太原矿山机器润滑液压设备有限公司
14.LS0000005,晋城矿业集团有限责任公司
14.LS0000006,太原重工股份有限公司
14.LS0000009,山西省太原变压器厂实业公司
14.LS0000010,中国北车集团永济电机厂物资经销部
14.LS0000011,山西海通工程招标代理有限公司
14.LS0000012,大秦铁路股份有限公司太原机务段
14.X02161465,大同机车实业公司群力五金厂
15.14394239F,包头市翔宇铁路配件有限责任公司
15.16930278,中铁十六局集团铁运工程有限公司
15.74385837,包头铁丰车辆配件有限责任公司
15.78366379N,内蒙古汇信招标有限公司
15.8342440X9,鄂尔多斯市德惠商贸有限责任公司
15.87084817D,中地寅岗建设集团有限公司
15.A0PU7FG9A,内蒙古春之华文化传媒有限责任公司
15.A0QA4A50C,内蒙古小楼视界影视文化有限公司
15.A13Q7TU2X,鄂尔多斯市蒙驰汽车销售服务有限责任公司
15.LS0000001,内蒙古新锐广告有限责任公司
15.LS0000002,准格尔旗瑞祥工程机械经销部
15.LS0000003,呼和浩特铁路局物资招标采购站
15.LS0000006,呼和浩特铁路局集宁机务段
15.LS0000007,呼和浩特铁路局包头西机务段
1.95242E+17,深圳英威腾交通技术有限公司
1.95242E+17,er
1.95242E+17,兰州金轮实业有限责任公司物资配送分公司
1cskd3201211142524,1.11111E+14
1cskd4201202282965,111111111
1cskd4201202286948,1111
1cskd5201110224340,山峰
1cskd5201110262469,test
1cskd5201111083669,TEST
1cskd5201111088798,test1
1feikong201207096051,test0709
2000000004,中化商务有限公司
2000000406,山东南山铝业股份有限公司
2000000522,长春市天瑞机械有限公司
2000000724,南阳汉冶特钢有限公司
2000000766,苏州工业园区木原电器有限公司
2000000770,株洲飞鹿高新材料技术股份有限公司
2000000795,武汉欧亚泰克机电设备有限公司
2000000812,南京众森太盛机电实业有限公司
2000000839,长沙长源变压器有限公司
2000001045,河南思维自动化设备股份 有限公司
2000001073,安平县金龙车辆装备有限公司
2000001087,陕西国铁科学技术研究发展有限公司电气化分公司
2000001122,大同ABB牵引变压器有限公司
2000001263,安徽省康利亚股份有限公司
2000001524,无锡市安达轨道装备有限公司
2000001917,沈阳市辽河特种玻璃厂
2000001980,无锡圣丰减震器有限公司
2000002032,西南铝业(集团)有限责任公司
2000002200,震坤行工业超市（上海）有限公司
2000002262,西安驰必易电气有限公司
2000002375,金鹰重型工程机械有限公司
2000002434,山西太钢不锈钢股份有限公司
2000002758,吉林省先锋工贸有限公司
2000002815,无锡市锡容电力电器有限公司
2000003002,上海诺力士驷博自动化有限公司
2000003436,北京和利时系统工程有限公司
2000003579,吉林嘉仕工贸有限公司
2000004204,中国航天空气动力技术研究院
2000004342,三达奥克化学股份有限公司
2000004651,北京京天威科技发展有限公司
2000004724,北京宝利信通科技有限公司
2000004754,浙江金马逊机械有限公司
2000004781,黄石邦柯科技股份有限公司
2000004810,爱佩仪测量设备有限公司
2000004984,北京瑞科恒业喷涂技术有限公司
2000005000,廊坊智通机器人系统有限公司
2000005079,河南豫中起重集团有限公司
2000005169,扬力集团股份有限公司
2000005485,湖北全诚物流有限公司
2000005829,汇中仪表股份有限公司
2000005838,北京易勤信息技术有限公司
2000005852,马鞍山钢铁股份有限公司销售公司
2000005880,北京宝钢北方贸易有限公司
2000005923,大冶特殊钢股份有限公司
2000005975,昆明仲联友达工贸有限公司
2000006073,浙江冠华电气有限公司
2000006159,南京志卓电子科技有限公司
2000006288,特瑞堡密封系统（中国）有限公司
2000006620,博捷高德科技（北京）有限公司
2000006945,青岛鸿裕吉工贸有限公司
2000007273,上海机床厂有限公司
2000007561,无锡友方电工股份有限公司
2000007629,上海汉普机械有限公司
2000007807,中国机械设备工程股份有限公司
2000007841,凯特克集团凯特克贸易（上海）有限公司
2000007921,深圳市思科泰技术股份有限公司
2000008045,纳尔科（中国）环保技术服务有限公司
2000008419,南阳市格莱尼中辰工业装备有限公司
2000008458,西安西整熔断器厂
2000008490,太原重工轨道交通设备有限公司
2000008626,哈尔滨市东杭铝业有限公司
2000008639,迈特诺（马鞍山）特种电缆有限公司
2000008767,成都西南铁路物资有限公司
2000009007,青矩工程顾问有限公司
2000009114,广西柳州银海铝业股份有限公司
2000009212,山东裕航特种合金装备有限公司
2000009390,西安交通大学
2000009484,大连力德气体科技股份有限公司
2000009532,西安翔迅科技有限责任公司
2000009555,全球国际货运代理（中国）有限公司
2000009857,北京亚控科技发展有限公司
2000009895,郑州天威自动化设备有限公司
2000010013,中铝萨帕特种铝材（重庆）有限公司
2000010090,大华会计师事务所（特殊普通合伙）
2000010109,陕西秦川格兰德机床有限公司
2000010258,中兴通讯股份有限公司
2000010352,沈阳赛普贝司科技有限公司
2000010503,北京润科通用技术有限公司
2000010657,艾斯克联轴器（济南）有限公司
2000010697,杭州坤利焊接材料有限公司
2000010754,北京大方饭店有限责任公司
2000010819,海阔紧固件（苏州）有限公司
2000010912,卓勒（上海）精密检测仪器有限公司
2000010973,北京经纬信息技术有限公司
2000011394,西安安泰测试设备有限公司
2000011448,青岛南北车轨道装备科技有限公司
2000011715,昆明电器科学研究所
2000011850,株洲市希玛特变电工有限公司
2000011883,北京数码大方科技股份有限公司
2000012048,西安新竹防灾救生设备有限公司
2000012342,天津海关
2000012830,无锡市华通气动制造有限公司
2000013076,河南中州智能设备集团有限公司
2000013659,烽火通信科技股份有限公司
2000013828,泰安德图自动化仪器有限公司
2000014081,中国太平洋财产保险股份有限公司
2000014156,江苏荣邦机械制造有限公司
2000014372,天津津航计算技术研究所
2000014432,天津巴可国际贸易有限公司
2000014636,北京铁科普拉塞养路机械设备有限公司
2000014732,成都国铁电气设备有限公司
2000014900,洛阳通易机械制造有限公司
2000014906,广州精益运输制冷设备有限公司
2000014921,北京德川国际物流有限公司
2000014958,北京久其软件股份有限公司
2000015006,中国航空工业集团公司哈尔滨空气动力研究所
2000015027,北京市城南橡塑技术研究所
2000015103,北京用友审计软件有限公司
2000015106,上海斌瑞检测技术服务有限公司
2000015467,北京锐和恒泰科技有限公司
2000015559,中车洛阳机车有限公司襄阳分公司
2000015581,广州朗进轨道交通设备有限公司
2000015596,新誉轨道交通科技有限公司
2000015694,株洲凯创技术有限公司
2000015800,上海台姆超声设备有限公司
2000015937,上海默松控制系统设备有限公司
2000015982,株洲春华实业有限责任公司
2000015992,北京世纪东方智汇科技股份有限公司
2000016055,天津铁路信号有限责任公司
2000016138,北京启明星辰信息安全技术有限公司
2000016183,东北大学
2000016190,江苏南钢轨道钢材有限公司
2000016279,东南大学
2000016358,广州致远电子有限公司
2000016406,北京中车德美科技有限公司
2000016420,北京德邦货运代理有限公司
2000016440,北京恒泰丰科技有限公司
2000016519,安徽远嘉轨道车辆装备有限公司
2000016578,株洲新桥科技实业有限公司
2000016831,青岛海信网络科技股份有限公司
2000016832,深圳达实智能股份有限公司
2000017128,中国第一重型机械集团大连加氢反应器制造有限公司
2000017335,亚萨合莱自动门系统（上海）有限公司
2000017359,湖南省立胜物流有限公司
2000017387,南京轨道交通系统工程有限公司
2000017467,湖南三一港口设备有限公司
2000017480,江苏银环精密钢管有限公司
2000017794,曼奈柯斯工业电气（中国）有限公司
2000018043,中机中联工程有限公司
2000018268,北京永嘉欧华汽车服务有限公司
2000018299,北京北斗星通导航技术股份有限公司
2000018302,北京神州宏业科技有限公司
2000018303,北京汇智博纳管理顾问有限公司
2000018358,上海电器科学研究所(集团)有限公司
2000018366,赛雪龙轨道交通安全技术（上海）有限公司
2000018377,中国铁路上海局集团有限公司上海机车检修段
2000018403,上海百钧机电设备有限公司
2000018430,南京高精轨道交通设备有限公司
2000018500,宁波江北友联金属制品有限公司
2000018575,北京中税网控股股份有限公司湖南分公司
2000018588,长沙网智科技有限公司
2000018607,湖南精量重工科技有限公司
2000018614,株洲博雅科技股份有限公司
2000018632,株洲鸿新实业有限公司
2000018676,湖南九天和盛机械制造有限责任公司
2000018744,昆明益泰电子科技有限公司
2000018820,北京大成（宁波）律师事务所
2000018916,伍尔特（中国）有限公司
2000019164,中国铁建高新装备股份有限公司
2000019204,南京苏莱瑞新技术有限公司
2000019307,中信国际电讯(信息技术)有限公司
2000019414,上海京浙实业有限公司
2000019535,中国铁路上海局集团有限公司科学技术研究所
2000019625,上海莘积电子科技有限公司
2000019634,成都和润丰经贸发展有限公司
2000019681,天津市松正电动汽车技术股份有限公司
2000019692,武汉理工大学
2000019741,蚌埠市双环电子集团股份有限公司
2000019750,上海泽尔轨道交通技术有限公司
2000020163,武汉枫麒麟铁路配件有限公司
2000020280,武汉畅飞物流有限公司
2000020290,武汉飞鹿豪晟涂料有限责任公司
2000020295,武汉江车盛欣和工业技术有限公司
2000020937,北京中车二七达诺巴特机床制造有限公司
2000020938,北京城建智控科技有限公司
2000020994,刻宝（上海）雕刻设备有限公司
